index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
6371;Beans, without salt, boiled, cooked, mature seeds, royal red, kidney;100;123;0.2;9.49;21.85;0;Beans; boiled, cooked, mature seeds, royal red, kidney; without salt;Beans without salt
6372;Peppers, solids and liquids, excluding seeds, canned, red, hot chili;100;21;0.1;0.90;5.10;3.32;Peppers; excluding seeds, canned, red, hot chili; solids and liquids;Peppers solids and liquids
6373;Candies, prepared-by-recipe, with nuts, chocolate marshmallow, fudge;100;474;21;3.24;67.69;0;Candies; with nuts, chocolate marshmallow, fudge; prepared-by-recipe;Candies prepared-by-recipe
6374;Orange juice, with added calcium, includes from concentrate, chilled;100;47;0.1;0.68;11.27;8.31;Orange juice; includes from concentrate, chilled; with added calcium;Orange juice with added calcium
6375;Chicken, raw, meat and skin and giblets and neck, broilers or fryers;100;213;15;18.33;0.13;0;Chicken; meat and skin and giblets and neck, broilers or fryers; raw;Chicken raw
6376;Turkey, raw, with added solution, meat only, from whole bird, breast;100;102;1.7;21.54;0.14;0.05;Turkey; with added solution, meat only, from whole bird, breast; raw;Turkey raw
6377;Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed;100;349;2.5;7.30;82.69;31.29;Cereals ready-to-eat;; KELLOGG RAISIN BRAN with Omega-3 from flaxseed;Cereals ready-to-eat KELLOGG RAISIN BRAN with Omega-3 from flaxseed
6378;Soup, single brand, ready-to-serve, chunky, chicken mushroom chowder;100;80;4.4;3.00;7.10;0;Soup; ready-to-serve, chunky, chicken mushroom chowder; single brand;Soup single brand
6379;Alcoholic beverage, Gewurztraminer, late harvest, white, table, wine;100;108;0;0.07;11.39;0;Alcoholic beverage; late harvest, white, table, wine; Gewurztraminer;Alcoholic beverage Gewurztraminer
6380;Biscuits, baked, higher fat, refrigerated dough, plain or buttermilk;100;324;11;6.79;49.05;8.19;Biscuits; higher fat, refrigerated dough, plain or buttermilk; baked;Biscuits baked
6381;KFC, meat and skin with breading, Thigh, EXTRA CRISPY, Fried Chicken;100;309;22;17.17;10.30;0;KFC; Thigh, EXTRA CRISPY, Fried Chicken; meat and skin with breading;KFC meat and skin with breading
6382;Restaurant, Arroz con frijoles negros (rice and black beans), Latino;100;151;3.9;4.64;24.40;0.86;Restaurant; Latino; Arroz con frijoles negros (rice and black beans);Restaurant Arroz con frijoles negros (rice and black beans)
6383;Beef, pan-browned, cooked, crumbles, 85% lean meat / 15% fat, ground;100;256;15;27.73;0.00;0.00;Beef; cooked, crumbles, 85% lean meat / 15% fat, ground; pan-browned;Beef pan-browned
6384;Beef, pan-browned, cooked, crumbles, 80% lean meat / 20% fat, ground;100;272;17;27.00;0.00;0.00;Beef; cooked, crumbles, 80% lean meat / 20% fat, ground; pan-browned;Beef pan-browned
6385;Pork, cooked, with added solution, composite of separable fat, fresh;100;585;60;10.06;0.32;0.00;Pork; with added solution, composite of separable fat, fresh; cooked;Pork cooked
6386;Wheat flour, unenriched, bleached, 11.5% protein, white (industrial);100;363;1.5;11.50;73.81;1.12;Wheat flour; bleached, 11.5% protein, white (industrial); unenriched;Wheat flour unenriched
6387;Luncheon meat, includes SPAM (Hormel), canned, minced, pork with ham;100;315;27;13.40;4.60;0.00;Luncheon meat; canned, minced, pork with ham; includes SPAM (Hormel);Luncheon meat includes SPAM (Hormel)
6388;Beverages, Light Cranberry and Raspberry Flavored Juice, OCEAN SPRAY;100;26;0;0.73;5.77;5.02;Beverages; OCEAN SPRAY; Light Cranberry and Raspberry Flavored Juice;Beverages Light Cranberry and Raspberry Flavored Juice
6389;PREGO Pasta, ready-to-serve, Chunky Garden Combination Italian Sauce;100;54;1.2;1.54;10.00;7.69;PREGO Pasta; Chunky Garden Combination Italian Sauce; ready-to-serve;PREGO Pasta ready-to-serve
6390;AUSTIN, reduced fat, sandwich-type, Peanut Butter on Cheese Crackers;100;461;18;9.70;66.30;9.00;AUSTIN; sandwich-type, Peanut Butter on Cheese Crackers; reduced fat;AUSTIN reduced fat
6391;AUSTIN, reduced fat, sandwich-type, Peanut Butter on Toasty Crackers;100;463;18;9.50;67.20;11.80;AUSTIN; sandwich-type, Peanut Butter on Toasty Crackers; reduced fat;AUSTIN reduced fat
6392;Chicken, heated (microwave), barbecue flavored, glazed, frozen, wing;100;248;14;25.34;3.84;2.10;Chicken; barbecue flavored, glazed, frozen, wing; heated (microwave);Chicken heated (microwave)
6393;Infant formula, ready-to-feed, with iron, GOOD START SUPREME, NESTLE;100;66;3.4;1.45;7.39;5.00;Infant formula; with iron, GOOD START SUPREME, NESTLE; ready-to-feed;Infant formula ready-to-feed
6394;Artichokes, without salt, drained, boiled, cooked, (globe or french);100;53;0.3;2.89;11.95;0.99;Artichokes; drained, boiled, cooked, (globe or french); without salt;Artichokes without salt
